Customer ID,Name,Age,Gender,Annual Income,Total Spending,Purchase Frequency,Last Purchase Date,Average Order Value,Discount Usage,Preferred Category,Customer Satisfaction
CUST00022,Manish Jaiswal,22,Female,39590.49,14618.74,9,2026-08-08,1384.85,38.98,Home & Kitchen,6.0
CUST00023,Ananya Rai,37,Male,46945.5,33057.45,10,2026-08-06,2452.1,22.55,Beauty,8.0
CUST00024,Varun Gupta,27,Male,33523.21,29186.24,13,2026-06-07,1904.16,66.06,Fashion,6.0
CUST00025,Manish Singh,43,Male,44777.08,14805.65,5,2026-03-27,2458.48,32.4,Beauty,9.0
CUST00026,Meera Rai,41,Female,19802.82,12755.75,7,2026-05-03,1707.63,0.0,Home & Kitchen,9.0
CUST00027,Akash Shukla,24,Male,38383.25,17212.25,6,2026-08-06,2547.25,52.45,Home & Kitchen,5.0
CUST00028,Manish Mishra,19,Female,32102.85,8659.67,6,2026-08-04,1982.29,21.35,Beauty,7.0
CUST00029,Vikas Pandey,34,Male,30569.13,22674.17,8,2025-12-29,2150.97,54.67,Sports,7.0
CUST00030,Akash Sinha,25,Male,44847.79,25860.11,10,2026-07-31,2572.18,5.94,Books,8.0
CUST00031,Sneha Mishra,18,Male,35010.74,23912.14,12,2026-07-16,2632.38,64.53,Sports,8.0
CUST00032,Neha Sharma,27,Male,20518.65,46275.49,15,2026-03-24,2885.2,13.65,Electronics,7.0
CUST00033,Tanvi Sinha,19,Female,56442.14,42263.42,12,2026-06-16,2783.92,62.37,Fashion,6.0
CUST00034,Rahul Singh,28,Male,20355.51,28903.94,12,2026-07-10,2942.38,42.68,Electronics,7.0
CUST00035,Sneha Shukla,42,Female,23189.66,4821.65,3,2026-07-21,1316.08,44.75,Fashion,7.0
CUST00036,Pooja Mishra,40,Male,28464.79,10728.14,4,2026-07-20,2412.28,6.32,Home & Kitchen,7.0
CUST00037,Yash Shukla,49,Female,45065.33,22292.95,6,2026-06-08,2804.03,22.59,Books,
CUST00038,Krishna Srivastava,26,Male,39191.95,6394.96,8,2026-07-14,695.67,15.55,Beauty,7.0
CUST00039,Ayush Singh,18,Female,48608.74,5241.34,4,2026-05-02,1783.49,27.98,Home & Kitchen,9.0
CUST00040,Ayush Tiwari,39,Male,44197.01,20411.91,6,2026-07-02,3203.93,62.91,Electronics,5.0
CUST00041,Aditi Tiwari,19,Male,57144.37,8398.08,4,2026-04-29,1832.86,24.1,Electronics,7.0
CUST00042,Aditya Rai,24,Male,50096.46,28393.45,10,2026-07-31,2268.31,53.66,Fashion,6.0
CUST00043,Arjun Shukla,25,Female,19688.76,25539.42,6,2026-08-07,3806.34,2.78,Fashion,6.0
CUST00044,Neha Chauhan,28,Female,69761.1,22629.94,13,2026-07-02,2122.63,36.73,Fashion,7.0
CUST00045,Manish Srivastava,30,Male,46685.0,13594.98,9,2026-07-19,2104.27,61.02,Beauty,4.0
CUST00046,Shreya Verma,28,Female,44725.02,32599.05,10,2026-07-06,3336.93,45.19,Books,8.0
CUST00047,Shreya Agarwal,33,Male,49597.68,9077.27,4,2026-05-07,3277.33,43.04,Electronics,8.0
CUST00048,Pooja Mehta,27,Male,39283.36,10985.24,9,2026-07-13,1556.64,0.0,Fashion,9.0
CUST00049,Meera Tiwari,33,Female,145744.04,16712.75,9,2026-06-10,2385.5,72.74,Electronics,5.0
CUST00050,Varun Shukla,30,Female,45482.2,18027.88,5,2026-07-06,2966.05,14.76,Electronics,5.0
CUST00051,Pooja Sharma,29,Male,58845.05,4218.89,6,2026-04-21,635.47,,Electronics,8.0
CUST00052,Neha Malhotra,18,Male,28064.58,12964.23,7,2026-04-29,2416.48,19.35,Fashion,8.0
CUST00053,Ankit Jaiswal,26,Female,34679.83,2715.11,5,2026-07-17,423.67,56.83,Electronics,5.0
CUST00054,Suraj Mehta,33,Female,50535.38,10728.24,6,2026-08-08,2139.72,53.71,Home & Kitchen,8.0
CUST00055,Shreya Shukla,25,Female,31960.57,6030.36,4,2026-08-05,1325.22,49.26,Books,8.0
CUST00056,Isha Yadav,23,Female,49295.76,9317.37,5,2026-05-01,2457.25,1.6,Electronics,9.0
CUST00057,Aditi Verma,27,Male,71115.04,29507.07,8,2026-05-29,3142.84,34.38,Sports,6.0
CUST00058,Varun Rai,31,Female,50945.45,9601.92,8,2026-07-04,1197.85,2.41,Fashion,8.0
CUST00059,Aditya Mishra,41,Male,54867.08,8998.65,2,2026-06-21,3402.02,66.41,Electronics,4.0
CUST00060,Ayush Jaiswal,20,Male,33484.29,14494.29,6,2026-07-25,2151.8,61.83,Electronics,6.0
CUST00061,Aditi Singh,23,Male,145012.02,36299.59,7,2026-07-22,4914.18,33.08,Beauty,6.0
CUST00062,Arjun Agarwal,34,Female,48094.85,26911.38,10,2026-07-31,2063.29,33.51,Fashion,8.0
CUST00063,Sakshi Sinha,41,Female,46808.62,23615.12,10,2026-08-01,2547.34,39.15,Beauty,8.0
CUST00064,Yash Singh,33,Female,54229.91,28654.6,10,2026-07-22,2203.67,39.44,Electronics,6.0
CUST00065,Rahul Gupta,29,Female,47133.68,20175.93,8,2026-04-06,2324.82,56.31,Electronics,8.0
CUST00066,Ananya Srivastava,25,Male,35262.1,5398.35,10,2026-08-08,537.62,14.92,Electronics,6.0
CUST00067,Ankit Mehta,18,Male,25762.41,19680.13,10,2026-06-28,2165.82,44.85,Sports,5.0
CUST00068,Suraj Rai,32,Female,35140.51,17098.66,9,2026-08-02,1762.1,50.92,Electronics,8.0
CUST00069,Akash Kumar,27,Female,58972.08,23477.51,7,2026-06-23,2575.53,41.69,Home & Kitchen,6.0
CUST00070,Shreya Shukla,32,Male,20194.26,9047.08,6,2026-07-11,1184.67,34.67,Fashion,8.0
CUST00071,Arjun Agarwal,42,Female,51761.96,26394.29,15,2026-06-09,2076.91,18.33,Fashion,7.0
CUST00072,Diya Verma,28,Female,44933.33,15459.97,5,2026-06-02,3080.33,47.91,Electronics,10.0
CUST00073,Aditi Sharma,34,Female,37026.13,21422.61,9,2026-07-01,1934.34,38.49,,8.0
CUST00074,Diya Mishra,18,Male,34492.09,7858.53,3,2026-06-19,2390.11,66.31,Books,7.0
CUST00075,Manish Shukla,18,Female,36941.03,21024.3,7,2026-07-26,2898.61,61.21,Electronics,8.0
CUST00076,Vikas Kumar,31,Male,101822.53,10440.77,7,2026-05-12,2122.67,9.97,Sports,9.0
CUST00077,Rahul Shukla,36,Male,43782.25,23356.91,8,2026-05-30,2365.56,49.18,Fashion,5.0
CUST00078,Isha Srivastava,31,Female,52509.01,9483.69,7,2026-08-06,1832.78,29.46,Electronics,7.0
CUST00079,Ayush Gupta,27,Female,18000.0,11034.11,7,2026-06-27,1977.66,11.83,,8.0
CUST00080,Shreya Kumar,48,Female,29901.28,11311.29,4,2026-05-29,2123.49,70.95,Fashion,7.0
CUST00081,Suraj Mishra,27,Male,36306.7,22272.52,5,2026-05-09,3340.85,42.16,Beauty,8.0
CUST00082,Yash Agarwal,37,Male,71132.44,13422.77,8,2026-05-31,2163.42,14.37,Beauty,6.0
CUST00083,Suraj Gupta,31,Male,116310.85,21054.9,9,2026-05-10,2795.81,1.63,Beauty,8.0
CUST00084,Ayush Yadav,39,Male,19169.02,19343.39,11,2026-07-30,1405.65,51.01,Beauty,7.0
CUST00085,Suraj Tiwari,45,Female,82540.23,23152.86,9,2026-07-14,2978.74,27.59,Fashion,4.0
CUST00086,Krishna Agarwal,34,Male,26370.32,22730.64,9,2026-05-22,2271.2,0.0,Home & Kitchen,7.0
CUST00087,Diya Srivastava,18,Male,36583.34,12981.43,5,2026-05-18,1956.77,76.53,Books,7.0
CUST00088,Tanvi Shukla,43,Female,38696.76,13698.13,5,2026-04-09,2433.79,32.38,Home & Kitchen,5.0
CUST00089,Diya Mishra,32,Male,18048.35,6053.62,4,2026-05-10,2071.06,44.05,Sports,8.0
CUST00090,Riya Chauhan,18,Female,113523.89,7700.43,4,2026-07-14,2844.51,40.53,Home & Kitchen,6.0
CUST00091,Nikhil Gupta,30,Female,48915.26,18126.37,12,2026-06-23,1580.92,67.62,Beauty,7.0
CUST00092,Sameer Chauhan,25,Male,43093.94,28348.62,14,2026-06-17,2444.63,9.44,Electronics,5.0
CUST00093,Aditya Agarwal,23,Male,18000.0,16585.16,7,2026-07-08,2618.15,28.5,Sports,6.0
CUST00094,Akash Sinha,31,Female,26356.37,10703.81,9,2026-04-14,1067.25,,Sports,7.0
CUST00095,Karan Jaiswal,25,Female,39092.9,15602.93,9,2026-08-01,1552.31,30.51,Books,6.0
CUST00096,Arjun Chauhan,36,Female,101822.05,21528.82,7,2026-06-29,2962.7,44.44,Books,7.0
CUST00097,Vikas Mishra,32,Female,45173.52,20841.43,9,2026-06-21,2060.02,59.95,Sports,7.0
CUST00098,Tanvi Sharma,24,Female,120597.4,10283.27,5,2026-07-05,2201.39,59.49,Home & Kitchen,9.0
CUST00099,Suraj Agarwal,26,Female,23946.77,17825.45,10,2026-07-02,2236.21,24.32,Beauty,6.0
CUST00100,Arjun Rai,30,Female,34140.63,5687.26,4,2026-07-06,1481.81,22.56,Beauty,8.0
CUST00101,Isha Rai,34,Male,64543.07,28085.53,9,2026-08-01,2808.34,36.52,Books,6.0
CUST00102,Sneha Tiwari,37,Female,29385.85,19963.84,13,2026-06-07,2146.69,20.02,Books,7.0
CUST00103,Arjun Kumar,33,Female,41414.59,10998.7,6,2026-07-24,2270.82,49.16,Electronics,5.0
CUST00104,Neha Singh,18,Male,52831.37,45408.6,14,2026-06-17,3948.76,11.24,Beauty,6.0
CUST00105,Rahul Yadav,32,Female,44174.21,25788.48,11,2026-08-08,1845.56,31.26,Books,8.0
CUST00106,Ayush Kumar,32,Female,19710.68,10994.57,7,2025-12-15,1576.86,21.23,Books,7.0
CUST00107,Varun Gupta,33,Male,38113.02,12294.9,5,2026-07-08,1928.82,38.41,Beauty,5.0
CUST00108,Sameer Rai,40,Male,55536.02,26739.92,9,2026-07-11,3843.0,34.4,Beauty,7.0
CUST00109,Yash Gupta,27,Male,52908.1,7002.14,4,2026-07-05,1682.91,34.38,Beauty,8.0
CUST00110,Sakshi Rai,30,Male,43814.19,21733.33,11,2026-07-27,1631.52,22.89,Sports,9.0
CUST00111,Vikas Mehta,31,Female,67144.84,27488.67,9,2026-08-06,2322.61,36.8,Sports,6.0
CUST00112,Pooja Mehta,33,Female,24192.38,12157.09,7,2026-06-26,1410.37,54.92,Fashion,6.0
CUST00113,Sneha Tiwari,20,Female,35379.64,16914.22,8,2026-07-01,2190.85,40.37,Books,8.0
CUST00114,Nikhil Malhotra,37,Female,30206.69,24931.12,9,2026-06-24,2335.55,39.21,Books,7.0
CUST00115,Aditya Sinha,39,Male,34119.19,24523.63,14,2026-06-12,2079.85,33.28,Fashion,6.0
CUST00116,Vikas Shukla,37,Female,77437.57,27489.58,12,2026-01-05,2588.2,51.57,Electronics,6.0
CUST00117,Krishna Kumar,30,Male,30250.43,10828.15,9,2026-03-20,1592.32,47.97,Books,5.0
CUST00118,Manish Agarwal,22,Male,36156.6,11316.31,10,2026-05-30,1628.34,4.49,Sports,9.0
CUST00119,Arjun Chauhan,33,Female,30452.0,17785.18,9,2026-08-06,2099.94,61.25,Beauty,6.0
CUST00120,Sneha Jaiswal,27,Male,60680.3,22702.9,6,2026-06-11,3027.75,44.6,Beauty,5.0
CUST00121,Isha Jaiswal,22,Male,102164.72,34344.74,9,2026-07-25,2913.22,0.0,Beauty,8.0
CUST00122,Diya Chauhan,30,Male,37572.45,16917.61,7,2026-08-02,2436.88,53.0,Beauty,8.0
CUST00123,Sakshi Jaiswal,23,Male,50807.86,14047.91,6,2026-07-28,2538.84,30.58,Books,8.0
CUST00124,Yash Kumar,24,Male,86830.21,9258.19,3,2026-07-21,2492.07,0.0,Sports,8.0
CUST00125,Rahul Sharma,34,Male,46133.7,16128.75,9,2026-03-02,1394.78,83.3,Electronics,4.0
CUST00126,Meera Mishra,42,Female,31870.43,10674.48,9,2026-08-01,1592.04,13.56,Electronics,3.0
CUST00127,Arjun Mehta,27,Female,109590.3,15938.22,7,2026-07-27,2487.39,47.05,Home & Kitchen,6.0
CUST00128,Krishna Pandey,23,Female,46873.21,31461.92,8,2026-04-24,3324.77,33.78,Beauty,6.0
CUST00129,Neha Sharma,30,Female,186632.81,54792.0,10,2026-07-18,4438.62,45.73,Books,7.0
CUST00130,Kavya Tiwari,39,Male,55167.53,19455.7,8,2026-08-02,1801.54,40.96,Books,8.0
CUST00131,Rohan Verma,50,Male,27435.97,37471.1,11,2026-06-13,2846.16,86.79,Electronics,6.0
CUST00132,Aarav Kumar,37,Male,50108.13,19729.42,10,2026-08-05,2498.81,51.81,Fashion,7.0
CUST00133,Akash Yadav,26,Male,36871.02,21985.95,12,2026-08-01,1866.71,39.02,Beauty,6.0
CUST00134,Ankit Gupta,36,Female,35272.61,18928.4,6,2026-05-09,2658.12,45.28,Fashion,7.0
CUST00135,Aarav Sinha,38,Female,59895.54,14883.4,10,2026-06-10,2050.99,33.19,Sports,7.0
CUST00136,Sameer Yadav,35,Female,36466.52,24606.6,10,2026-08-05,2652.55,42.35,Electronics,9.0
CUST00137,Sneha Sinha,18,Male,38819.56,15294.38,10,2026-05-30,2120.3,31.62,Books,7.0
CUST00138,Rahul Verma,27,Male,31881.95,25864.77,10,2026-06-04,2142.26,21.92,Home & Kitchen,5.0
CUST00139,Aditya Rai,39,Female,49192.89,25721.95,9,2026-06-29,2567.68,37.87,Books,7.0
CUST00140,Manish Malhotra,47,Female,33516.99,5960.44,4,2026-07-31,2261.66,30.6,Electronics,4.0
CUST00141,Rohan Mehta,18,Female,62443.98,8821.88,3,2026-05-28,2223.45,19.96,Books,8.0
CUST00142,Shreya Rai,56,Male,52565.11,14760.23,7,2026-07-18,2208.33,27.02,Books,6.0
CUST00143,Yash Shukla,18,Female,21744.99,12891.74,7,2026-07-27,1703.46,37.94,Beauty,7.0
CUST00144,Shreya Pandey,26,Female,32249.9,13437.36,6,2026-04-04,2345.33,30.5,Home & Kitchen,6.0
CUST00145,Aditya Pandey,43,Male,74659.52,17765.0,8,2026-08-08,1803.17,37.17,Beauty,5.0
CUST00146,Rahul Jaiswal,26,Male,148026.92,24390.75,7,2026-07-26,2964.6,71.8,Home & Kitchen,6.0
CUST00147,Karan Mishra,41,Male,32801.22,18247.88,13,2026-05-02,1409.3,30.7,Beauty,6.0
CUST00148,Diya Agarwal,28,Male,45356.57,13512.34,7,2026-08-03,2148.69,72.83,Home & Kitchen,6.0
CUST00149,Nikhil Yadav,27,Female,44068.32,6346.08,4,2026-08-08,1526.89,27.76,Electronics,7.0
CUST00150,Neha Shukla,46,Male,57091.68,27659.57,11,2026-07-04,2178.85,11.12,Fashion,7.0
CUST00151,Neha Mehta,46,Female,49647.51,8136.66,5,2026-03-10,1476.53,17.7,Electronics,4.0
CUST00152,Krishna Tiwari,38,Male,27371.72,20989.57,11,2026-07-29,2229.23,87.89,Home & Kitchen,5.0
CUST00153,Nikhil Srivastava,34,Female,98331.78,23773.96,8,2026-07-11,3028.43,34.41,Beauty,7.0
CUST00154,Meera Pandey,41,Female,23118.18,17283.8,13,2026-05-01,1483.4,58.32,Home & Kitchen,6.0
CUST00155,Shreya Yadav,37,Female,18000.0,7658.54,7,2026-05-28,1348.42,7.41,Home & Kitchen,6.0
CUST00156,Sneha Mishra,25,Male,34855.77,25322.53,8,2026-08-05,2705.36,42.03,Fashion,8.0
CUST00157,Diya Rai,24,Male,43878.84,7057.74,6,2026-08-06,1007.94,39.27,Sports,9.0
CUST00158,Tanvi Yadav,32,Female,40919.23,21167.65,7,2026-07-11,2262.83,29.43,Home & Kitchen,8.0
CUST00159,Isha Sharma,37,Male,25395.66,12054.27,10,2026-06-14,1335.48,50.64,Books,7.0
CUST00160,Aditi Shukla,36,Male,71474.39,25394.96,7,2026-08-08,4308.52,18.55,Home & Kitchen,8.0
CUST00161,Sneha Malhotra,26,Male,44663.89,12206.12,4,2026-07-23,2782.95,17.66,Electronics,7.0
CUST00162,Neha Malhotra,25,Male,61568.65,24278.64,11,2026-06-21,2098.36,45.44,Beauty,6.0
CUST00163,Aditi Pandey,32,Female,48474.45,8901.05,5,2026-07-15,2285.09,47.02,Beauty,5.0
CUST00164,Krishna Malhotra,30,Male,23575.09,12298.03,9,2026-07-25,1115.03,54.42,Electronics,9.0
CUST00165,Suraj Sinha,35,Male,29557.03,14443.23,9,2026-07-26,2122.17,14.96,Electronics,5.0
CUST00166,Sneha Chauhan,21,Male,40210.52,2141.05,6,2026-06-04,486.88,11.38,Sports,8.0
CUST00167,Krishna Mehta,33,Male,89001.33,19848.71,5,2026-07-08,3327.57,20.16,Beauty,5.0
CUST00168,Manish Sinha,18,Female,47769.49,23146.83,8,2026-07-11,2310.77,20.14,Sports,6.0
CUST00169,Shreya Gupta,30,Male,93682.02,24158.27,9,2026-06-27,2492.94,28.65,Fashion,7.0
CUST00170,Aditya Mishra,44,Male,51357.61,17317.7,10,2026-08-03,2073.35,18.3,Fashion,10.0
CUST00171,Ankit Sharma,32,Male,57702.61,12034.2,8,2026-08-07,1451.45,29.67,Beauty,7.0
CUST00172,Neha Sinha,35,Female,45323.58,30758.32,11,2026-06-13,2468.93,33.3,Electronics,5.0
CUST00173,Isha Mehta,38,Male,24785.82,5259.47,5,2026-07-23,1235.09,47.09,Electronics,7.0
CUST00174,Suraj Yadav,38,Male,41389.33,8540.26,4,2025-12-28,1646.49,49.88,Beauty,7.0
CUST00175,Rohan Kumar,19,Male,21558.66,11609.81,11,2026-08-08,1023.51,35.65,Home & Kitchen,6.0
CUST00176,Ankit Sinha,38,Male,46520.69,24069.78,13,2026-07-22,2645.08,9.95,Sports,7.0
CUST00177,Meera Sinha,28,Female,54162.61,20210.84,7,2026-06-23,3015.71,49.81,Books,4.0
CUST00178,Nikhil Shukla,34,Female,35352.31,5502.86,2,2026-08-07,2100.53,48.8,Beauty,3.0
CUST00179,Aditi Chauhan,22,Female,27211.06,4044.89,2,2026-05-17,2863.4,51.41,Books,4.0
CUST00180,Aarav Singh,25,Female,75913.46,22669.58,11,2026-06-02,1921.38,18.39,Fashion,8.0
CUST00181,Sakshi Pandey,37,Male,46508.45,28847.99,6,2026-07-20,3562.27,97.2,Sports,8.0
CUST00182,Ankit Malhotra,40,Male,64038.05,39658.02,14,2026-06-01,2392.14,13.17,Sports,6.0
CUST00183,Ankit Chauhan,25,Female,84964.53,4294.78,2,2026-06-16,1663.03,27.86,Books,7.0
CUST00184,Neha Srivastava,43,Female,100574.14,30091.65,8,2026-06-20,2831.7,48.87,Beauty,6.0
CUST00185,Akash Mishra,26,Female,62783.19,6682.74,6,2026-07-24,1273.28,43.17,Home & Kitchen,8.0
CUST00186,Isha Jaiswal,18,Female,76725.3,15920.02,7,2026-06-24,2002.77,45.82,Sports,7.0
CUST00187,Karan Pandey,42,Male,85120.63,10387.6,6,2026-03-04,1787.8,36.55,Home & Kitchen,7.0
CUST00188,Krishna Rai,23,Male,66210.17,29167.84,7,2026-06-29,3135.01,39.15,Electronics,7.0
CUST00189,Arjun Rai,31,Female,48221.57,14350.5,5,2026-06-28,3055.66,55.27,Home & Kitchen,5.0
CUST00190,Sneha Verma,23,Female,70118.9,29127.21,10,2026-07-27,2677.66,35.88,Fashion,6.0
CUST00191,Yash Sinha,37,Female,43131.72,10361.87,6,2026-06-08,1669.46,32.18,Beauty,7.0
CUST00192,Rohan Tiwari,39,Female,36441.23,4939.81,6,2026-08-08,1120.14,42.18,Books,8.0
CUST00193,Aarav Shukla,24,Male,32508.49,14877.33,7,2026-04-10,2449.88,44.44,Beauty,5.0
CUST00194,Tanvi Gupta,33,Male,83923.35,19905.2,8,2026-06-01,3082.1,41.08,Beauty,8.0
CUST00195,Ananya Malhotra,51,Male,31641.62,16460.74,8,2026-07-24,1864.78,34.09,Books,6.0
CUST00196,Diya Chauhan,32,Female,63381.43,14628.71,6,2026-05-26,2423.07,50.81,Beauty,7.0
CUST00197,Pooja Kumar,25,Female,51456.43,11594.95,9,2026-07-09,1569.96,7.73,Beauty,7.0
CUST00198,Nikhil Kumar,24,Male,47994.67,54666.78,10,2026-08-04,4220.37,14.26,Electronics,8.0
CUST00199,Varun Chauhan,40,Female,67057.42,7178.64,3,2026-08-04,2009.35,9.83,Home & Kitchen,7.0
CUST00200,Isha Sinha,18,Female,23436.95,20777.76,7,2026-06-17,2424.28,61.83,Sports,4.0
CUST00201,Meera Shukla,24,Female,56420.23,26579.98,8,2026-07-30,2645.97,18.88,Beauty,8.0
CUST00202,Sneha Shukla,29,Female,45125.7,4624.22,4,2026-06-18,1309.67,75.57,Beauty,8.0
CUST00203,Varun Yadav,34,Female,97868.42,51355.29,11,2026-04-27,3583.02,25.85,Books,7.0
CUST00204,Ayush Chauhan,40,Male,55452.06,17521.49,7,2026-07-21,2383.29,13.44,Electronics,6.0
CUST00205,Sameer Jaiswal,26,Female,40821.48,14564.26,6,2026-08-08,2072.39,77.2,Beauty,7.0
CUST00206,Aditi Kumar,38,Male,31876.42,23814.53,11,2026-04-24,2172.06,40.93,Sports,7.0
CUST00207,Varun Mehta,36,Female,84861.22,24423.98,9,2026-07-16,2155.86,21.25,Electronics,7.0
CUST00208,Ananya Chauhan,40,Female,29481.25,20366.42,10,2026-06-30,3082.35,14.73,Books,8.0
CUST00209,Suraj Pandey,39,Male,25472.75,10330.66,8,2026-07-04,1838.51,44.83,Home & Kitchen,7.0
CUST00210,Varun Agarwal,29,Female,60211.24,21934.21,9,2026-05-14,2205.78,50.14,Books,8.0
CUST00211,Rohan Malhotra,31,Female,35358.52,9045.65,5,2026-08-08,1372.74,48.84,Sports,8.0
CUST00212,Ayush Sinha,43,Male,52789.3,49301.09,15,2026-06-30,3037.03,47.51,Fashion,8.0
CUST00213,Akash Gupta,31,Male,33060.97,27952.24,10,2026-08-01,2930.68,68.7,Beauty,6.0
CUST00214,Vikas Sharma,48,Male,68095.7,28508.31,9,2026-07-02,2788.86,12.94,Electronics,7.0
CUST00215,Isha Srivastava,35,Female,40456.72,8111.75,4,2026-06-28,1679.73,32.02,Home & Kitchen,5.0
CUST00216,Nikhil Chauhan,37,Female,58881.86,12627.46,9,2026-02-24,1866.01,24.67,Sports,7.0
CUST00217,Aditya Jaiswal,35,Male,50960.32,4556.91,5,2026-08-05,1185.17,30.38,Sports,7.0
CUST00218,Rahul Kumar,29,Male,43140.01,15233.32,6,2026-08-07,2543.04,62.39,Fashion,5.0
CUST00219,Meera Pandey,37,Female,34515.36,13803.65,5,2026-05-28,2517.69,0.0,Books,7.0
CUST00220,Meera Sinha,22,Male,26250.7,18574.01,7,2026-06-12,2074.23,11.28,Books,4.0
CUST00221,Kavya Sinha,48,Male,63982.72,22224.49,14,2026-07-23,2262.3,56.09,Books,9.0
CUST00222,Meera Sinha,29,Female,39754.46,22694.42,10,2026-07-26,2002.65,9.17,Fashion,7.0
CUST00223,Akash Tiwari,26,Female,34800.77,32721.92,9,2026-05-30,2914.83,38.88,Beauty,7.0
CUST00224,Sameer Sinha,23,Female,32627.93,5323.95,3,2026-06-26,1686.34,40.92,Electronics,7.0
CUST00225,Rahul Verma,26,Female,54517.34,7311.6,5,2026-07-28,1736.44,21.64,Sports,7.0
CUST00226,Vikas Sinha,40,Female,90758.62,28561.61,9,2026-07-08,2573.84,23.01,Fashion,5.0
CUST00227,Arjun Pandey,38,Female,48870.46,9859.65,4,2026-08-02,3068.47,30.63,Books,7.0
CUST00228,Vikas Verma,28,Male,34323.14,17983.3,7,2026-06-20,2357.41,20.38,Home & Kitchen,8.0
CUST00229,Kavya Kumar,38,Female,46687.94,4847.19,4,2026-07-21,1799.64,49.9,Electronics,7.0
CUST00230,Manish Mishra,33,Female,60642.99,11514.37,9,2026-06-27,1455.98,54.83,Fashion,8.0
CUST00231,Vikas Srivastava,26,Male,40002.73,14291.65,8,2026-03-08,1488.02,40.97,Sports,7.0
CUST00232,Diya Malhotra,18,Female,40777.95,11308.25,8,2026-07-17,1147.97,47.71,Home & Kitchen,5.0
CUST00233,Meera Singh,40,Female,39876.81,22782.55,8,2026-07-25,2347.82,69.25,Fashion,4.0
CUST00234,Shreya Jaiswal,31,Male,23962.81,50054.29,12,2026-08-05,3331.36,44.33,Sports,7.0
CUST00235,Krishna Sharma,21,Female,131301.9,14498.99,6,2026-08-05,3388.19,76.62,Home & Kitchen,7.0
CUST00236,Sakshi Pandey,20,Male,51553.71,15011.69,7,2026-07-29,2214.62,26.73,Sports,9.0
CUST00237,Kavya Gupta,19,Female,59512.22,17252.23,10,2026-05-19,1407.55,0.0,Books,6.0
CUST00238,Riya Shukla,20,Male,55160.42,20789.97,8,2026-08-02,2651.69,0.0,Home & Kitchen,6.0
CUST00239,Rohan Mehta,33,Male,45432.74,23998.63,8,2026-07-17,2718.82,0.0,Books,8.0
CUST00240,Akash Kumar,35,Female,21969.08,19327.68,6,2026-08-02,2916.59,10.96,Electronics,6.0
CUST00241,Neha Gupta,21,Male,38889.72,42022.68,15,2026-05-23,3246.04,24.95,Electronics,7.0
CUST00242,Ananya Jaiswal,29,Male,76133.16,33716.33,10,2026-07-21,2652.57,65.15,Beauty,6.0
CUST00243,Shreya Shukla,41,Female,57675.91,15475.98,9,2026-07-24,1536.22,46.45,Beauty,4.0
